date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2002-12,119,,,,,,,,,,,,,,,,,,
2003-01,44,,,,,,,,,,,,,,,,,,
2003-02,95,,,,,,,,,,,,,,,,,,
2003-03,24,,,,,,,,,,,,,,,,,,
2003-04,33,1.9788639365918097,76.62227074235808,20.88621444201313,0,0,2,3,5,69,73,77,80,84,14,17,21,25,28
2003-05,22,,,,,,,,,,,,,,,,,,
2003-06,21,,,,,,,,,,,,,,,,,,
2003-07,15,1.7728119180633146,74.42278860569715,23.31981981981982,0,0,2,3,4,64,70,74,80,84,14,18,23,28,35
2003-08,18,,,,,,,,,,,,,,,,,,
2003-09,91,,,,,,,,,,,,,,,,,,
2003-10,27,2.353864734299517,68.2896174863388,28.584699453551913,0,1,2,4,5,62,65,68,72,74,23,25,29,32,34
2003-11,82,,,,,,,,,,,,,,,,,,
2003-12,107,,,,,,,,,,,,,,,,,,
2004-01,236,4.058426966292135,75.29836065573771,19.257393209200437,0,2,4,6,8,69,72,76,78,81,13,16,19,23,26
2004-02,459,,,,,,,,,,,,,,,,,,
2004-03,53,,,,,,,,,,,,,,,,,,
2004-04,64,2.441326530612245,82.35448577680525,14.521264994547437,0,1,2,4,6,77,80,83,85,88,9,11,14,18,21
2004-05,44,,,,,,,,,,,,,,,,,,
2004-06,8,,,,,,,,,,,,,,,,,,
2004-07,77,1.4692028985507246,81.13588390501319,16.507265521796565,0,0,1,2,4,72,76,81,86,91,5,11,16,23,27
2004-08,98,,,,,,,,,,,,,,,,,,
2004-09,52,,,,,,,,,,,,,,,,,,
2004-10,58,2.4038929440389296,72.07986870897156,24.437636761487965,0,1,2,4,5,67,69,72,75,79,19,21,25,28,29
2004-11,129,,,,,,,,,,,,,,,,,,
2004-12,69,,,,,,,,,,,,,,,,,,
2005-01,104,3.1734317343173433,74.91694352159469,20.941176470588236,0,1,3,5,7,66,72,75,78,82,15,17,21,25,27
2005-02,15,,,,,,,,,,,,,,,,,,
2005-03,29,,,,,,,,,,,,,,,,,,
2005-04,52,2.107001321003963,79.12663755458516,18.230853391684903,0,1,2,3,5,71,75,80,83,87,9,14,18,23,27
2005-05,84,,,,,,,,,,,,,,,,,,
2005-06,71,,,,,,,,,,,,,,,,,,
2005-07,211,2.9414225941422596,72.81796116504854,23.724691358024693,0,1,2,5,7,65,68,72,77,83,12,21,24,28,31
2005-08,66,,,,,,,,,,,,,,,,,,
2005-09,94,,,,,,,,,,,,,,,,,,
2005-10,68,5.3931623931623935,64.55940023068051,29.040462427745666,0,2,4,9,13,55,62,65,68,70,21,25,29,33,37
2005-11,122,,,,,,,,,,,,,,,,,,
