date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2002-02,258,,,,,,,,,,,,,,,,,,
2002-03,44,,,,,,,,,,,,,,,,,,
2002-04,177,2.230850501848917,80.32857693790976,17.285381930981,0,0,2,3,7,62,73,81,88,94,4,10,17,24,32
2002-05,62,,,,,,,,,,,,,,,,,,
2002-06,30,,,,,,,,,,,,,,,,,,
2002-07,45,2.009692132269099,76.01365587202497,21.88802184939524,0,0,1,3,7,60,70,77,83,90,9,16,22,28,34
2002-08,79,,,,,,,,,,,,,,,,,,
2002-09,29,,,,,,,,,,,,,,,,,,
2002-10,87,4.984882169853268,65.48257372654156,29.07825086306099,0,1,3,9,15,50,58,66,72,80,18,25,30,33,37
2002-11,415,,,,,,,,,,,,,,,,,,
2002-12,119,,,,,,,,,,,,,,,,,,
2003-01,44,,,,,,,,,,,,,,,,,,
2003-02,95,,,,,,,,,,,,,,,,,,
2003-03,24,,,,,,,,,,,,,,,,,,
2003-04,33,8.410459587955627,58.22740524781341,32.891304347826086,0,2,5,14,30,20,46,63,72,80,18,25,32,41,50
2003-05,22,,,,,,,,,,,,,,,,,,
2003-06,21,,,,,,,,,,,,,,,,,,
2003-07,15,6.291809710642472,60.637789102312816,33.36302982731554,0,1,3,11,24,29,50,65,71,78,19,27,33,40,48
2003-08,18,,,,,,,,,,,,,,,,,,
2003-09,91,,,,,,,,,,,,,,,,,,
2003-10,27,6.414707139803335,57.46088303640589,35.39953542392567,0,2,4,12,19,28,47,61,68,74,23,29,34,41,54
2003-11,82,,,,,,,,,,,,,,,,,,
2003-12,107,,,,,,,,,,,,,,,,,,
2004-01,236,6.787702265372168,65.80140597539543,26.888173302107727,0,2,5,12,17,44,58,68,74,79,16,20,27,33,40
2004-02,459,,,,,,,,,,,,,,,,,,
2004-03,53,,,,,,,,,,,,,,,,,,
2004-04,64,4.71163012392755,72.89554531490015,22.330391404451266,0,1,3,9,14,50,60,77,84,90,9,15,21,31,37
2004-05,44,,,,,,,,,,,,,,,,,,
2004-06,8,,,,,,,,,,,,,,,,,,
2004-07,77,3.0343716433942,71.92388758782201,25.016065830721004,0,0,2,5,11,51,60,73,82,90,8,16,25,35,39
2004-08,98,,,,,,,,,,,,,,,,,,
2004-09,52,,,,,,,,,,,,,,,,,,
2004-10,58,5.343124165554072,63.97967791411043,30.19471061709467,0,1,4,10,15,46,54,66,72,79,19,25,31,35,40
2004-11,129,,,,,,,,,,,,,,,,,,
2004-12,69,,,,,,,,,,,,,,,,,,
2005-01,104,7.904738878143133,65.38865643886564,25.591352859135284,1,3,7,13,18,49,57,67,73,79,16,21,26,30,34
2005-02,15,,,,,,,,,,,,,,,,,,
2005-03,29,,,,,,,,,,,,,,,,,,
2005-04,52,3.7177570093457946,71.219624377156,24.584898428516674,0,1,2,6,11,54,62,73,79,86,13,19,25,31,36
2005-05,84,,,,,,,,,,,,,,,,,,
2005-06,71,,,,,,,,,,,,,,,,,,
2005-07,211,3.3318627450980394,69.40379403794039,26.89875872769589,0,1,2,6,11,54,62,70,76,83,15,22,27,33,37
2005-08,66,,,,,,,,,,,,,,,,,,
2005-09,94,,,,,,,,,,,,,,,,,,
2005-10,68,12.295418641390205,58.70991767934144,27.75530243519246,3,6,11,18,24,44,51,60,65,71,18,23,28,32,37
2005-11,122,,,,,,,,,,,,,,,,,,
2005-12,118,,,,,,,,,,,,,,,,,,
2006-01,44,4.294208893485005,65.50174520069808,29.739433551198257,0,1,3,8,12,51,57,66,73,80,18,25,31,35,39
2006-02,74,,,,,,,,,,,,,,,,,,
2006-03,72,,,,,,,,,,,,,,,,,,
2006-04,104,3.006442021803766,72.32115384615385,24.412058371735792,0,1,2,5,10,54,61,74,82,89,10,17,24,33,38
2006-05,3,,,,,,,,,,,,,,,,,,
2006-06,58,,,,,,,,,,,,,,,,,,
2006-07,82,2.481112277019937,72.64163424124514,24.607268464243845,0,0,2,4,8,56,64,73,81,89,9,18,25,32,38
2006-08,126,,,,,,,,,,,,,,,,,,
2006-09,29,,,,,,,,,,,,,,,,,,
2006-10,110,6.424457034938621,64.04416265850459,28.68444055944056,0,2,5,11,16,50,57,65,71,76,21,25,29,32,37
2006-11,51,,,,,,,,,,,,,,,,,,
2006-12,44,,,,,,,,,,,,,,,,,,
2007-01,12,5.651647893199833,67.54005366040629,25.937068303914046,0,2,4,10,14,50,58,69,76,83,15,21,26,31,37
2007-02,42,,,,,,,,,,,,,,,,,,
2007-03,182,,,,,,,,,,,,,,,,,,
2007-04,148,3.622658748286889,72.39961685823755,23.388122605363986,0,1,3,6,10,54,63,74,81,87,11,17,23,30,37
2007-05,65,,,,,,,,,,,,,,,,,,
2007-06,160,,,,,,,,,,,,,,,,,,
2007-07,16,2.2351936218678814,77.6295659647615,19.886907351022185,0,0,2,4,7,60,68,79,87,94,4,11,20,29,35
2007-08,37,,,,,,,,,,,,,,,,,,
2007-09,74,,,,,,,,,,,,,,,,,,
2007-10,59,3.788640595903166,67.49521256223669,28.24712643678161,0,1,3,7,11,53,59,69,75,81,18,23,29,33,37
2007-11,165,,,,,,,,,,,,,,,,,,
2007-12,78,,,,,,,,,,,,,,,,,,
2008-01,182,4.434530706836616,74.64781746031746,20.405940594059405,0,1,3,8,12,61,68,76,81,84,13,17,20,24,29
2008-02,21,,,,,,,,,,,,,,,,,,
2008-03,339,,,,,,,,,,,,,,,,,,
2008-04,50,2.8563766388557807,79.53199105145414,17.497755834829444,0,0,2,5,10,62,71,81,88,94,5,11,17,25,30
2008-05,85,,,,,,,,,,,,,,,,,,
2008-06,58,,,,,,,,,,,,,,,,,,
2008-07,28,1.6285714285714286,76.60859625057157,21.624598439651216,0,0,1,2,5,63,70,76,84,91,8,15,22,29,34
2008-08,131,,,,,,,,,,,,,,,,,,
2008-09,97,,,,,,,,,,,,,,,,,,
2008-10,87,4.682066869300912,69.82309322033899,24.92629904559915,0,1,3,8,13,56,64,71,76,83,16,21,25,29,33
2008-11,357,,,,,,,,,,,,,,,,,,
2008-12,76,,,,,,,,,,,,,,,,,,
2009-01,138,4.094594594594595,69.60077369439071,25.9198606271777,0,1,3,7,12,56,63,70,76,81,17,22,26,30,33
2009-02,14,,,,,,,,,,,,,,,,,,
2009-03,139,,,,,,,,,,,,,,,,,,
2009-04,82,2.1876580677794637,77.32681242807826,20.049211841599384,0,0,2,3,6,62,70,78,84,90,8,14,20,26,32
2009-05,48,,,,,,,,,,,,,,,,,,
2009-06,76,,,,,,,,,,,,,,,,,,
2009-07,75,1.7078651685393258,74.88356697819314,23.069449863441278,0,0,1,2,5,63,69,75,80,87,11,18,24,29,33
2009-08,64,,,,,,,,,,,,,,,,,,
2009-09,87,,,,,,,,,,,,,,,,,,
2009-10,28,5.076513911620294,66.09616858237548,27.734279141104295,0,2,4,8,12,54,61,66,72,78,19,24,28,32,35
2009-11,152,,,,,,,,,,,,,,,,,,
2009-12,60,,,,,,,,,,,,,,,,,,
